street,lat1,lng1,lat2,lng2,distance
E 138th Pl,41.64461048897138,-87.61443640941951,41.644607503228485,-87.61721746507037,0.23116140419520587
E 138th Pl,41.6446005345567,-87.59137125990243,41.64463241667684,-87.59400798051418,0.21919270968242044
E 138th Pl,41.64463241667684,-87.59400798051418,41.64461048897138,-87.61443640941951,1.6980111074429427
S Leyden Ave,41.645480219835804,-87.61559400018076,41.64461048897138,-87.61443640941951,0.13644257640230834
E 137th St,41.645480219835804,-87.61559400018076,41.64583098486365,-87.61512005701908,0.055444194246407764
E 137th St,41.64583098486365,-87.61512005701908,41.645830984656264,-87.61393034230657,0.09888713438868595
S Brainard Ave,41.64640497917925,-87.54323442648669,41.643676038050224,-87.53969356879551,0.42279663621546193
S Indiana Ave,41.64670109740934,-87.61721895535022,41.644607503228485,-87.61721746507037,0.23287016453206888
S Leyden Ave,41.64670109740934,-87.61721895535022,41.645480219835804,-87.61559400018076,0.19152840539966898
S Indiana Ave,41.64701183662385,-87.61721917664806,41.64670109740934,-87.61721895535022,0.03456347590151709
E 136th Pl,41.6470395822219,-87.61251877703863,41.64701183662385,-87.61721917664806,0.3906944457869243
S Indiana Ave,41.647908530571726,-87.61721981488417,41.64701183662385,-87.61721917664806,0.0997391323877006
E 136th St,41.647912988924176,-87.61489449647074,41.647908530571726,-87.61721981488417,0.19327104746640125
E 136th St,41.647915402461614,-87.61363596888889,41.647912988924176,-87.61489449647074,0.10460370932591347
E 136th St,41.64791742457849,-87.61258081494275,41.647915402461614,-87.61363596888889,0.08770011397945382
E 136th St,41.64821351495668,-87.54231386223158,41.648211548432144,-87.54115057292282,0.09668737152293738
S Buffalo Ave,41.64821436831484,-87.54281913137378,41.64673104563966,-87.54280732565147,0.1649926516572058
S Buffalo Ave,41.64673104563966,-87.54280732565147,41.64640497917925,-87.54323442648669,0.05075043264179422
E 136th St,41.64821436831484,-87.54281913137378,41.64821351495668,-87.54231386223158,0.04199569582788317
E 136th St,41.64821555947133,-87.54352415063144,41.64821436831484,-87.54281913137378,0.0585980251124782
E 136th St,41.64821762504125,-87.5447461897776,41.64821555947133,-87.54352415063144,0.10157038711259007
S Brainard Ave,41.6482190285882,-87.5455771879546,41.64651954442044,-87.54338307734065,0.2626616666119933
S Brainard Ave,41.64651954442044,-87.54338307734065,41.64640497917925,-87.54323442648669,0.01774948258768033
E 136th St,41.6482190285882,-87.5455771879546,41.64821762504125,-87.5447461897776,0.0690688217269471
S Brainard Ave,41.64851048563575,-87.54595347141144,41.6482190285882,-87.5455771879546,0.045045405226889025
S Indiana Ave,41.648920681896975,-87.6172205355959,41.647908530571726,-87.61721981488417,0.11258143904707273
E 135th Pl,41.64892756276316,-87.61489948262391,41.648920681896975,-87.6172205355959,0.1929143699820494
S Forest Ave,41.64892756276316,-87.61489948262391,41.647912988924176,-87.61489449647074,0.11285163985544074
S Calumet Ave,41.64945700721133,-87.61365094756862,41.647915402461614,-87.61363596888889,0.17147695853045078
S Brainard Ave,41.649477316715455,-87.54720169278073,41.64851048563575,-87.54595347141144,0.14942549754187595
S Ave O,41.6489047999182,-87.53989331936992,41.64999939121051,-87.53988203517333,0.12175481913874735
E 135th St,41.64999939121051,-87.53988203517333,41.650002324096306,-87.53866963929372,0.10076636163577676
S Ave N,41.650002324096306,-87.53866963929372,41.64894168254262,-87.53866348428124,0.11797609225842633
E 135th St,41.650002324096306,-87.53866963929372,41.65000524390853,-87.53746214374503,0.10035907340103319
S Ave M,41.65000524390853,-87.53746214374503,41.648941682126285,-87.5374576374578,0.11830039254919036
E 135th St,41.65000524390853,-87.53746214374503,41.650008157799974,-87.53625744164987,0.10012689571724859
S Ave L,41.650008157799974,-87.53625744164987,41.64889468180462,-87.53625472769009,0.1238519546775893
E 135th St,41.650008157799974,-87.53625744164987,41.650011108745886,-87.53503746570208,0.1013963530743105
S Ave K,41.650011108745886,-87.53503746570208,41.64885943203475,-87.5350327258756,0.12810141425523924
S Green Bay Ave,41.648211548432144,-87.54115057292282,41.6492808014976,-87.54105657212688,0.11918918117753345
S Green Bay Ave,41.6492808014976,-87.54105657212688,41.65002065017111,-87.54107351443106,0.0823052910831348
S Mackinaw Ave,41.650023213523404,-87.54231384990193,41.64821351495668,-87.54231386223158,0.2012924697749162
E 135th St,41.650023213523404,-87.54231384990193,41.650021051973546,-87.54126807254453,0.086917975620599
E 135th St,41.650021051973546,-87.54126807254453,41.65002065017111,-87.54107351443106,0.016170361187525767
S Buffalo Ave,41.64821555947133,-87.54352415063144,41.65002571065846,-87.54352199383479,0.20134289446494905
E 135th St,41.65002571065846,-87.54352199383479,41.650023213523404,-87.54231384990193,0.10041278897074106
